user_id,monthly_income,monthly_expenses,monthly_savings,debt,savings_rate,debt_to_income,emergency_fund_months,savings_score,debt_score,emergency_fund_score,financial_health_score
1,161958,80578,81380,131932,50.24759505550822,81.46062559428988,1.009953088932463,100.0,18.53937440571012,16.832551482207716,50.61157776637535
2,143694,112363,31331,137337,21.80397233009033,95.57601570002925,0.2788373396936714,43.60794466018066,4.423984299970769,4.647288994894524,20.16455985253185
3,253458,138577,114881,87498,45.325458261329295,34.52169590227967,0.8290048132085411,90.6509165226586,65.47830409772033,13.81674688680902,60.048881904422245
4,152727,105221,47506,191335,31.105174592573675,125.27909276028468,0.4514878208722593,62.21034918514735,0.0,7.524797014537656,27.14157877842024
5,56023,30731,25292,67221,45.14574371240384,119.98821912428824,0.8230125931469852,90.29148742480768,0.0,13.716876552449753,40.231657935658
6,104820,42697,62123,59735,59.26636138141576,56.98817019652738,1.4549734173361126,100.0,43.01182980347262,24.24955695560188,60.17841602772235
7,234027,158535,75492,199041,32.25781640579933,85.05044289761437,0.4761850695430031,64.51563281159866,14.949557102385626,7.936417825716719,32.672045603070174
8,45311,23175,22136,184779,48.85347928759021,407.8016375714506,0.9551672060409924,97.70695857518042,0.0,15.919453434016544,43.85861946027713
9,125305,78815,46490,130608,37.10147240732613,104.2320737400742,0.5898623358497748,74.20294481465226,0.0,9.831038930829578,32.63048960510978
10,278042,195694,82348,122537,29.617108206673816,44.071399285000105,0.4207998201273417,59.23421641334763,55.928600714999895,7.013330335455695,42.57626588047573
11,189503,78548,110955,123855,58.550524266106606,65.35780436193622,1.4125757498599585,100.0,34.64219563806378,23.54292916433264,57.45553744071893
12,230222,157813,72409,129981,31.451816073181536,56.45898306851648,0.4588278532186828,62.90363214636307,43.541016931483526,7.647130886978047,40.5178972040837
13,124654,85634,39020,119346,31.302645723362264,95.74181333932324,0.4556601349931102,62.60529144672453,4.258186660676756,7.594335583218504,28.597873251858392
14,107435,44241,63194,31551,58.82068227300228,29.36752454972774,1.428403517099523,100.0,70.63247545027227,23.80672528499205,68.3317602205793
15,156216,73880,82336,69092,52.70650893634456,44.22850412249705,1.114455874390904,100.0,55.77149587750295,18.574264573181733,62.30372813520541
16,43890,26394,17496,87313,39.86329460013671,198.93597630439737,0.6628779268015458,79.72658920027341,0.0,11.04796544669243,35.205025314117094
17,181699,81471,100228,174073,55.16155840153221,95.80294883296,1.2302291612966576,100.0,4.1970511670400015,20.50381935494429,47.41026115659528
18,247624,122946,124678,68148,50.34972377475528,27.52075727716215,1.0140874855627673,100.0,72.47924272283785,16.901458092712787,66.81421024466519
19,292801,241363,51438,120174,17.567562952312322,41.04289261307167,0.2131146861780803,35.135125904624644,58.95710738692833,3.5519114363013387,32.80675600881876
20,194555,126377,68178,17159,35.043046953303694,8.819613990902315,0.539481076461698,70.08609390660739,91.18038600909767,8.991351274361632,58.08595874768075
21,150510,96124,54386,198193,36.13447611454389,131.68095143179855,0.5657900212225875,72.26895222908777,0.0,9.429833687043123,31.736530997748048
22,240551,185695,54856,19457,22.80431176756696,8.088513454527314,0.2954091386413204,45.60862353513392,91.91148654547268,4.923485644022008,47.29394107090198
23,237629,172240,65389,78953,27.5172643069659,33.2253218251981,0.3796388759869949,55.0345286139318,66.77467817480189,6.327314599783248,43.94440927794827
24,92995,77955,15040,9692,16.172912522178613,10.422065702457122,0.1929318196395356,32.34582504435723,89.57793429754288,3.215530327325593,40.77636940520343
25,216830,159141,57689,196769,26.6056357515104,90.74805146889268,0.3625024349476251,53.2112715030208,9.251948531107317,6.041707249127085,25.87260533527864
26,77065,57383,19682,99299,25.539479660027247,128.850969960423,0.342993569524075,51.078959320054494,0.0,5.716559492067918,22.14655157564217
27,203678,93005,110673,40397,54.337238189691575,19.83375720500005,1.1899682812752002,100.0,80.16624279499995,19.832804687920003,69.99971424487597
28,297750,210487,87263,1016,29.30747271200672,0.3412258606213266,0.4145766721935321,58.61494542401344,99.65877413937868,6.909611203225537,55.41649377238664
29,260861,159935,100926,23247,38.68957030755843,8.911642598931998,0.6310438615687624,77.37914061511685,91.088357401068,10.517397692812706,61.43338277421096
30,64300,34249,30051,82798,46.73561430793157,128.7682737169518,0.877427078162866,93.47122861586314,0.0,14.623784636047768,41.77562683715959
31,49268,40978,8290,12185,16.82633758220346,24.73207761630267,0.2023036751427595,33.65267516440692,75.26792238369733,3.371727919045992,37.05296515658576
32,234776,180689,54087,170171,23.037704024261423,72.48228098272395,0.2993375357658739,46.075408048522846,27.51771901727605,4.988958929431233,28.18216660342133
33,179643,109901,69742,51214,38.82255362023569,28.50876460535618,0.634589312199161,77.64510724047138,71.49123539464382,10.576488536652684,55.67836007557751
34,232300,207672,24628,48984,10.601808006887644,21.086526043908737,0.1185908548095073,21.20361601377529,78.91347395609127,1.9765142468251216,32.74844286638503
35,80774,34877,45897,120151,56.8215019684552,148.74959764280587,1.3159675430799669,100.0,0.0,21.93279238466611,46.57983771539983
36,233664,161028,72636,133767,31.085661462612983,57.24758627773213,0.4510768313585215,62.17132292522597,42.75241372226787,7.517947189308692,39.94963744356336
